be,なれ
measurement,計測
random,ランダム
successfully,正常に
depress,憂鬱
illustration,図
burst,バースト
privilege,特権
buyer,買い手
mutual,共通の
rail,レール
motivate,動機付ける
laboratory,ラボ
mortgage,モーゲージ
promotion,昇進
passion,情熱
champion,チャンピオン
fulfill,満たす
dust,ほこり
dedicate,献身
roughly,だいたい
skirt,スカート
province,州
march,行進
evaluation,評価
compromise,妥協
accomplish,達成
weakness,弱さ
announcement,発表
salt,塩
glance,一目
opera,オペラ
contest,コンテスト
brush,みがきます
embarrass,恥ずかしい
gallery,ギャラリー
genetic,遺伝的
aggressive,攻撃的
chest,胸
format,フォーマット
literary,文学
govern,統治
embrace,擁する
praise,賞賛
silent,静けさ
pump,ポンプ
publisher,出版社
celebration,お祝い
golf,ゴルフ
compensation,補償
classical,クラシック
weigh,計量
versus,対
deficit,赤字
modify,変更
flash,閃光
friendship,友情
profession,職業
literally,文字通り
equation,方程式
gesture,ジェスチャー
entertain,楽しませる
fantastic,素晴らしい
assign,割当
inflation,インフレーション
historic,歴史的
injure,怪我
remote,リモート
therapy,治療
orange,オレンジ
twist,ねじれ
personnel,職員
imagination,想像力
disagree,同意しない
throat,喉
insight,洞察
tackle,タックル
forever,永遠に
exceed,超えた
expenditure,支出
joy,喜び
pregnant,妊娠中
reliable,信頼性のある
gear,装備
poet,詩人
fortune,運
ceremony,式
pile,パイル
pig,豚
mixture,混合
automatically,自動的
scholar,学者
psychological,心理的
dramatically,劇的に
stake,ステーク
creature,生き物
partnership,パートナーシップ
participation,参加
clause,句
penalty,ペナルティ
chamber,チャンバー
fancy,はで
poetry,詩
chat,チャット
clothing,衣類
evolve,進化
sake,日本酒
shelf,棚
boost,ブースト
tail,しっぽ
possession,所持
abortion,中絶
curious,奇妙な
wooden,木製
boom,ブーム
tale,物語
democratic,民主的
maintenance,メンテナンス
consequently,その結果
pot,ポット
cow,牛
strengthen,強化する
whilst,一方
constraint,制約
fold,折り畳み
bin,置き場
undergo,受ける
potentially,潜在的に
scope,範囲
pretend,演じる
diversity,多様性
allege,申し立て
pride,誇り
intense,集中
inquiry,問い合わせ
resign,辞任
craft,クラフト
strict,厳しい
concrete,コンクリート
shell,シェル
damn,くそ
distinct,明確
humor,ユーモア
limitation,制限
indication,表示
stability,安定
wise,賢い
neglect,忘れる
compose,構成します
jail,刑務所
shelter,シェルター
mere,ほんの
carbon,炭素
regulate,規制します
cheese,チーズ
trigger,引き金
pipe,パイプ
destruction,破壊
guitar,ギター
flag,国旗
piano,ピアノ
magic,マジック
mystery,神秘
ski,スキー
whisper,ささやきます
rear,後方
menu,メニュー
species,種族
moon,月
presumably,おそらく
bless,祝福
airline,航空会社
amendment,修正
grandmother,祖母
jury,陪審
cooperation,協力
civilian,民間人
composition,構成
coin,コイン
regardless,関係なく
scan,スキャン
bunch,束
racial,人種
greet,挨拶
hopefully,うまくいけば
sanction,制裁
trick,騙す
paragraph,段落
maker,メーカー
chocolate,チョコレート
stimulate,刺激
belt,ベルト
potato,じゃがいも
narrative,物語
tissue,組織
barely,かろうじて
invent,発明
tourism,観光
pro,プロ
stair,階段
hesitate,躊躇
shine,輝く
motivation,動機
romantic,ロマンチック
firmly,しっかりと
interior,インテリア
stomach,お腹
nowhere,どこにも
pray,祈る
championship,チャンピオンシップ
servant,サーバント
immigrant,移民
excess,過剰
complexity,複雑
liability,責任
surprisingly,驚くべきことに
extract,エキス
implementation,実装
bias,バイアス
differently,違う
catalog,カタログ
continuous,連続
golden,ゴールデン
stamp,スタンプ
guideline,ガイドライン
envelope,封筒
knife,ナイフ
biological,生物学的
consume,消費
luxury,贅沢
weekly,毎週
wherever,どこでも
bite,一口
printer,プリンター
firstly,最初に
anxious,気になる
adventure,冒険
fence,フェンス
exhaust,排気
attraction,アトラクション
ocean,海洋
quietly,静かに
castle,城
veteran,ベテラン
reflection,反射
nerve,神経
determination,決定
altogether,全体的に
fiction,フィクション
carpet,カーペット
cluster,集まる
confusion,錯乱
hurry,忙しい
logic,論理
controversial,物議を醸す
raw,生
grammar,文法
revise,改訂
hint,ヒント
hook,針
bell,ベル
liquid,液体
panic,パニック
uncle,おじさん
rice,ご飯
slope,スロープ
happiness,幸福
genuine,純正
vessel,容器
verb,動詞
reckon,計算
silly,馬鹿な
transportation,交通手段
harbor,港
comedy,コメディ
chase,追跡
storage,保管所
universe,宇宙
horrible,最悪
sheep,羊
lover,愛人
rat,ねずみ
portrait,肖像画
innocent,無垢
substitute,代わりの
supplement,補足
adjustment,調整
reasonably,合理的に
filter,フィルター
flexible,フレキシブル
abstract,概要
tent,テント
precise,正確
distant,遠い
stranger,知らない人
shade,シェード
grain,粒
situate,位置
summarize,要約します
leap,跳躍
snap,スナップ
probability,確率
leather,レザー
uncertainty,不確実性
swear,誓う
refugee,難民
shore,海岸
monthly,毎月
comprise,含む
stir,混ぜる
excitement,興奮
sigh,はぁ
pregnancy,妊娠
experimental,実験的
institutional,制度的
slice,スライス
wander,さまよう
empire,帝国
subsequently,その後
gentle,優しい
attendance,出席
ownership,所有
qualification,資格
suspend,サスペンド
functional,機能
voluntary,自発的
pale,青白い
stain,染色
athlete,アスリート
organic,オーガニック
tongue,舌
server,サーバ
structural,構造
fool,バカ
alongside,横に
unite,団結します
gently,優しく
compute,計算します
wipe,ワイプ
weird,変
gaze,視線
fade,フェード
cough,咳
hypothesis,仮説
royal,王立
theoretical,理論的
curtain,カーテン
mayor,市長
darkness,暗闇
aunt,叔母
tournament,トーナメント
registration,登録
fragment,断片
listener,リスナー
tender,入札
density,密度
ugly,醜い
module,モジュール
faithfully,忠実に
autumn,秋
cheek,頬
attachment,添付ファイル
holder,保有者
grin,にやにや笑います
noun,名詞
fortunate,幸運な
alright,大丈夫
lazy,怠惰
hello,こんにちは
hunger,飢え
insure,保証します
ashamed,恥ずかしかった
found,見つかった
thirst,渇き
